taskCount;responseTime;userName
1;84;chivery
0;272;jeremiah
0;211;bet
3;108;wickham
4;284;bet
1;550;bounderby
0;339;rosa
1;149;pidger
0;281;parkes
0;126;peerybingle
0;59;crimp
3;332;chivery
2;288;artful
0;89;deputy
0;288;chivery
0;165;jaggers
0;295;pidger
0;180;alphonse
1;552;wickham
0;149;traddles
0;324;cavalletto
0;284;david
3;168;bounderby
76;213;pidger
7;421;artful
0;277;traddles
0;394;cavalletto
1;444;gaspard
1;293;pidger
0;84;gabelle
0;232;mogley
1;354;pidger
0;271;traddles
0;341;wickham
0;356;bounderby
77;242;amy
1;281;david
0;81;cavalletto
0;75;david
0;350;kitty
1;267;wickham
1;261;cavalletto
1;87;harmon
0;89;david
1;262;lightwood
3;36;harmon
77;286;deputy
77;207;mogley
21;166;parkes
33;559;mogley
32;553;petowker
32;521;pidger
32;483;morfin
0;271;peerybingle
0;348;chivery
0;289;lightwood
0;312;kitty
1;98;deputy
1;148;rosa
3;297;harmon
3;121;bazzard
2;118;jeremiah
2;282;mogley
2;282;kitty
1;271;barley
1;268;kitty
77;243;gaspard
77;198;harmon
76;229;chivery
77;222;kitty
33;305;pidger
77;195;chivery
4;112;morfin
0;158;cavalletto
5;123;crimp
6;147;lightwood
6;170;jeremiah
6;132;jeremiah
0;114;morfin
21;72;cavalletto
77;257;kitty
77;231;amy
77;201;david
77;207;cavalletto
77;239;crimp
77;256;crimp
77;244;gabelle
77;242;jaggers
77;260;jaggers
33;475;jeremiah
32;508;rosa
33;506;cavalletto
33;506;gaspard
33;478;sally
33;518;bunsby
33;5375;bunsby
33;494;deputy
2;275;admin
1;74;david
1;85;admin
1;276;wickham
0;87;parkes
1;353;alphonse
0;276;harmon
1;177;david
36;286;sally
38;937;lightwood
1;423;morfin
38;329;amy
1;309;cavalletto
38;314;lightwood
1;325;gaspard
1;255;bet
1;279;bet
36;311;sampson
36;267;parkes
77;218;kitty
77;332;jaggers
0;126;david
7;123;petowker
77;614;artful
1;189;parkes
77;305;guster
1;397;pidger
77;178;deputy
78;292;bunsby
78;220;gabelle
1;354;jeremiah
35;234;gaspard
35;156;gabelle
0;788;bet
0;597;amy
1;314;bet
1;434;artful
1;292;bunsby
1;677;morfin
1;353;bazzard
0;272;parkes
1;95;jaggers
1;96;gabelle
0;80;harmon
0;271;gaspard
78;223;bunsby
34;505;sally
34;120;david
1;78;gaspard
33;296;gabelle
0;253;jaggers
78;222;bet
78;338;jeremiah
1;210;petowker
21;211;jaggers
21;168;amy
79;465;alphonse
79;209;peerybingle
79;98;amy
1;106;harmon
33;323;sampson
33;359;petowker
32;401;amy
1;361;amy
2;327;guster
2;316;bazzard
2;316;admin
79;220;cavalletto
79;275;jaggers
79;1727;chivery
33;483;admin
33;386;pidger
35;314;cavalletto
79;257;bunsby
79;202;mogley
79;246;pidger
79;307;sampson
79;276;amy
33;579;morfin
33;526;bazzard
33;544;harmon
34;532;gabelle
33;501;morfin
1;283;bounderby
0;262;gabelle
0;400;harmon
0;129;petowker
0;777;jaggers
35;388;gaspard
0;257;parkes
2;274;kitty
1;97;deputy
1;260;gabelle
1;325;bet
1;316;pidger
0;261;traddles
35;300;gabelle
79;299;artful
78;192;gaspard
0;183;bounderby
8;264;bounderby
72;406;gaspard
1;33;admin
72;587;kitty
13;173;david
1;422;barley
1;367;chivery
1;78;morfin
1;84;rosa
1;88;sampson
0;207;bet
1;97;kitty
0;67;admin
0;80;cavalletto
3;200;peerybingle
65;222;parkes
47;60;rosa
65;224;bet
65;253;lightwood
65;254;bet
65;235;peerybingle
65;219;bounderby
47;518;chivery
47;165;cavalletto
65;190;jeremiah
47;81;gaspard
65;72;peerybingle
65;420;bunsby
65;206;gabelle
47;207;parkes
47;211;deputy
66;650;bounderby
61;234;deputy
61;213;guster
61;285;bunsby
61;238;jeremiah
31;367;sampson
36;288;cavalletto
61;191;bounderby
61;284;lightwood
61;221;bet
61;209;morfin
61;217;kitty
61;259;david
61;212;deputy
35;391;wickham
35;325;traddles
35;335;bounderby
35;309;peerybingle
36;362;bazzard
61;227;bunsby
35;1623;rosa
1;280;harmon
1;388;mogley
0;434;parkes
0;344;rosa
1;365;amy
1;417;gabelle
1;337;gaspard
0;268;gabelle
1;120;bazzard
0;268;admin
0;73;jeremiah
0;78;crimp
31;288;alphonse
31;330;admin
31;314;traddles
31;292;bazzard
61;236;alphonse
60;212;kitty
16;262;crimp
16;213;mogley
16;238;chivery
16;233;amy
0;269;gabelle
2;211;artful
1;275;bunsby
0;261;gabelle
0;264;jeremiah
1;287;alphonse
0;68;bazzard
0;270;jaggers
1;270;wickham
39;1211;wickham
39;313;crimp
38;320;peerybingle
38;340;parkes
38;312;bunsby
38;292;morfin
38;319;crimp
37;270;jeremiah
61;225;gaspard
61;1184;wickham
2;696;kitty
60;262;barley
60;222;bounderby
1;177;gabelle
38;336;gabelle
0;144;parkes
0;298;david
1;329;gaspard
1;124;david
31;379;traddles
35;327;alphonse
35;679;petowker
35;537;bazzard
35;478;crimp
35;482;artful
16;238;jeremiah
16;130;rosa
16;215;kitty
0;276;barley
61;196;mogley
61;572;mogley
38;500;pidger
38;406;mogley
38;312;wickham
40;334;admin
16;207;david
16;216;sampson
16;224;harmon
31;297;cavalletto
31;345;peerybingle
10;117;bunsby
8;258;jaggers
60;169;david
60;169;wickham
60;238;amy
60;210;pidger
60;202;crimp
60;189;traddles
60;206;david
60;213;kitty
60;202;bazzard
60;228;barley
60;240;peerybingle
31;336;sampson
39;1606;bazzard
42;307;bunsby
35;556;bet
60;179;jeremiah
35;426;cavalletto
35;499;amy
35;586;sampson
35;348;artful
35;340;deputy
0;883;petowker
0;308;bounderby
16;221;admin
16;519;sally
17;261;artful
17;265;chivery
8;157;bet
16;163;crimp
1;367;bunsby
1;292;pidger
1;40;sally
1;79;bounderby
31;307;sally
32;333;lightwood
60;258;mogley
41;132;admin
38;293;admin
38;265;artful
60;168;bounderby
60;187;peerybingle
0;141;chivery
0;228;gabelle
60;176;harmon
60;211;mogley
60;224;petowker
60;190;amy
0;74;wickham
1;949;petowker
0;41;alphonse
0;99;rosa
1;132;bunsby
1;279;morfin
0;253;morfin
0;279;mogley
4;289;peerybingle
2;79;bet
39;579;jaggers
17;247;traddles
17;250;bounderby
47;507;traddles
8;220;david
8;259;lightwood
9;257;david
10;242;gabelle
17;256;bazzard
18;246;jeremiah
37;174;morfin
37;311;guster
36;560;kitty
8;195;gaspard
8;352;rosa
37;529;peerybingle
1;1096;lightwood
60;263;pidger
60;186;bet
60;174;pidger
60;181;traddles
35;490;barley
35;515;guster
35;516;artful
35;333;petowker
35;521;barley
35;521;bazzard
1;381;artful
1;191;alphonse
35;546;bazzard
35;524;admin
0;316;traddles
0;256;jaggers
0;380;gabelle
1;351;artful
1;263;wickham
1;274;rosa
0;255;sampson
1;259;admin
0;294;wickham
1;284;jaggers
0;272;wickham
1;275;deputy
1;336;crimp
3;283;bunsby
2;81;mogley
40;589;admin
40;190;amy
40;305;traddles
18;253;admin
4;449;bounderby
0;34;bounderby
35;109;amy
11;161;mogley
60;404;gaspard
1;53;bet
7;211;mogley
1;142;gaspard
5;53;artful
0;33;bounderby
1;215;jaggers
0;45;sampson
0;146;parkes
5;191;lightwood
6;485;sally
6;57;rosa
6;81;parkes
6;247;gaspard
5;47;jeremiah
5;48;lightwood
5;163;jeremiah
6;167;pidger
0;1675;petowker
7;213;sampson
60;244;bazzard
60;234;bunsby
60;1450;gaspard
6;200;jeremiah
